CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
"CHURCH OF THE HOLY TRINITY, RITTENHOUSE SQUARE",CHURCH OF THE HOLY TRINITY,1900 WALNUT STREET,19103,1859,,JOHN NOTMAN,YES,RITTENHOUSE FITLER,YES,RITTENHOUSE,NO,NO,PHC,MOSS,5,CENTRAL,,EPISCOPAL,EPISCOPAL,TOWER (MOSS),1868,JOHN FRASER,INTERIOR RENOVATIONS (MOSS),1880,HENRY VAN BRUNT; JAMES PEACOCK SIMS,,,,HILDRETH MEIERE; SEVERIN VAN AERSCHODT FONDRY,SANDSTONE,BROWNSTONE,,,YES,NO,NO,NO,772247000,,THE RECTOR CHURCH,WARDENS + VESTRYMEN,8,"1900  WALNUT STREET Philadelphia, PA",,,small_green
GREENE STREET FRIENDS SCHOOL,GREEN STREET MONTHLY MEETING,5511 GREENE STREET,19144,1828,,,YES,NO,NO,NO,NO,NO,GREEN STREET MONTHLY MEETING WEBSITE,,8,UPPER NORTHWEST,,RELIGIOUS SOCIETY OF FRIENDS (QUAKER),ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,YES,776537000,,TRS-GRNE ST MTHLY MTNG,,241,"5511  GREENE STREET Philadelphia, PA",,,small_green
TRINITY LUTHERAN CHURCH,TRINITY LUTHERAN CHURCH,5300 GERMANTOWN AVENUE,19144,1857,,JACOB AND GEORGE A. BINDER (BUILDERS),YES,NO,NO,COLONIAL GERMANTOWN,NO,YES,MOSS,MOSS,8,UPPER NORTHWEST,COMPLEX,LUTHERAN,LUTHERAN,INTERIOR RECONFIGURATION,1886,UNKNOWN,INTERIOR RENOVATIONS,1964,UNKNOWN,,,,JACOB D. CUSTER; NICOLA D'ASCENZO; CONNICK ASSOCIATES OF BOSTON,STUCCO,STONE,,,YES,NO,NO,NO,776168000,19 W. QUEEN LANE,TRUSTEES OF LUTHERAN,,242,"5300  GERMANTOWN AVENUE Philadelphia, PA",,,small_green
CONGREGATION B'NAI ABRAHAM SYNAGOGUE,CONGREGATION B'NAI ABRAHAM SYNAGOGUE,523-527 LOMBARD STREET,19147,1908,,BARNET J. MEDOFF; CHARLES W. BOLTON,YES,SOCIETY HILL,NO,NO,NO,NO,SACRED SITES OF CENTER CITY (GALLERY),SACRED SITES OF CENTER CITY (GALLERY),1,CENTRAL,,JUDAISM,JUDAISM,REBUILT AFTER 1926 FIRE (PHC),1927,WILLIAM LEVINTHAL,,,,,,,,BRICK,TERRA COTTA,SYNAGOGUE ON SITE SINCE 1889 (REPLACED CHURCH) (PHC),,YES,NO,NO,NO,771116000,,CHEVIA BNAI AVIOHOME,MI RUSSE,10,"523  LOMBARD STREET Philadelphia, PA",,,small_green
SAINT PETER'S EPISCOPAL CHURCH,SAINT PETER'S EPISCOPAL CHURCH,313 PINE STREET,19106,1761,,ROBERT SMITH (MASTER BUILDER),YES,NO,YES,SOCIETY HILL,YES,YES,MOSS,MOSS,1,CENTRAL,COMPLEX,EPISCOPAL,EPISCOPAL,TOWER AND SPIRE,1842,WILLIAM STRICKLAND,,,,,,,,BRICK,,,,YES,PSP,NO,NO,771145000,,RECTOR CHURCH WARDENS,,10,"313  PINE STREET Philadelphia, PA",,,small_green
CHURCH OF SAINT JAMES THE LESS,CHURCH OF SAINT JAMES THE LESS,3201-3229 W. CLEARFIELD STREET,19132,1850,,JOHN E. CARVER (AFTER DRAWINGS BY GEORGE GORDON PLACE),YES,NO,YES,NO,YES,YES,MOSS,MOSS,4,LOWER NORTH,COMPLEX,EPISCOPAL,EPISCOPAL,WANAMAKER TOWER,1908,JOHN TORREY WINDRIM,VESTRY REPLACED WITH SACRISTY,1929,UNKNOWN,,,,HENRY GERENTE; ALFRED GERENTE,SCHIST,,"MODELED AFTER DRAWINGS BY GEORGE GORDON PLACE OF SAINT MICHAEL'S, LONGSTANTON, CAMBRIDGESHIRE (C. 1230); FIRST CHURCH IN THE UNITED STATES DIRECTLY SUPERVISED BY THE ENGLISH ECCLESIOLOGICAL SOCIETY (MOSS 248)",,YES,PSP,NO,NO,775112010,,CHURCH OF SAINT JAMES,THE LESS,170,"3201 W. CLEARFIELD STREET Philadelphia, PA",,,small_green
TRUE GOSPEL TABERNACLE FAMILY CHURCH,SAINT ELIZABETH PROTESTANT EPISCOPAL CHURCH,1900 S. 16TH STREET,19145,1889,CIRCA,BAILY & TRUSCOTT,YES,NO,NO,NO,NO,NO,PHMC-PAB; MAPS CONFIRM BUILDING BETWEEN 1895 AND 1910,PAB,2,SOUTH,,EPISCOPAL,APOSTOLIC,,,,,,,,,,,,,,,NO,NO,NO,YES,773199000,,TRUE GOSPEL TABERNACLE FA,,39,"1900 S. 16TH STREET Philadelphia, PA",,,small_green
TINDLEY TEMPLE UNITED METHODIST CHURCH,JOHN WESLEY METHODIST EPISCOPAL CHURCH,750-762 S. BROAD STREET,19146,1924,CIRCA,BALLINGER CO; CASTOR; STEARNS,YES,NO,YES,NO,NO,NO,COOPERMAN,COOPERMAN,2,CENTRAL,,METHODIST EPISCOPAL,METHODIST,,,,,,,,,,,BRICK,LIMESTONE,,,NO,NO,YES,NO,772077000,,TINDLEY TEMPLE M E,CHURCH,14,"750 S. BROAD STREET Philadelphia, PA",,,small_green
CHURCH OF SAINT ANDREW AND SAINT MONICA/CHURCH OF SAINTS ANDREW AND MONICA,SAINT ANDREW'S CHURCH,3600-3602 BARING STREET,19104,1897,,JOSEPH M. WILSON (WILSON BROTHERS),YES,NO,NO,POWELTON VILLAGE,NO,NO,PAB,PAB,3,UNIVERSITY/SOUTHWEST,,EPISCOPAL,EPISCOPAL,,,,,,,,,,,BROWNSTONE,,,,NO,PSP,NO,NO,774070000,,CHURCH FOUNDATION,,91,"3600  BARING STREET Philadelphia, PA",,,small_green
SAINT MARK OUTREACH BAPTIST CHURCH,FAIR HILL FRIENDS MEETING HOUSE,2831 N. HUTCHINSON STREET,19133,1883,,,YES,NO,NO,NO,NO,NO,CONGREGATION PAMPHLET,,7,NORTH,,RELIGIOUS SOCIETY OF FRIENDS (QUAKER),BAPTIST,,,,,,,,,,,STONE,,,,NO,NO,NO,YES,777408015,924 W. CAMBRIA STREET,ARCHDIOCESE OF PHILA,,175,"2831 N. HUTCHINSON STREET Philadelphia, PA",,,small_green
FRIENDSHIP BAPTIST CHURCH,18TH STREET METHODIST EPISCOPAL CHURCH,1730 WHARTON STREET,19146,1888,,J. FRANKLIN STUCKERT,YES,NO,INELIGIBLE,NO,NO,NO,COOPERMAN,COOPERMAN,2,SOUTH,,METHODIST EPISCOPAL,BAPTIST,,,,,,,,,,,BRICK,,,,NO,NO,YES,YES,773169000,S. 18TH STREET,FRIENDSHIP BAPTIST,CHURCH OF PHILA,30,"1730  WHARTON STREET Philadelphia, PA",,US,small_green
PHILADELPHIA EPISCOPAL CATHEDRAL,CATHEDRAL CHURCH OF THE SAVIOUR,13-19 S. 38TH STREET,19104,1889,,CHARLES M. BURNS,YES,NO,YES,NO,NO,NO,MOSS,MOSS,3,UNIVERSITY/SOUTHWEST,,EPISCOPAL,EPISCOPAL,RECONSTRUCTION AND EXPANSION AFTER 1902 FIRE (ONLY BELL TOWER AND FA�ADE SURVIVED),1906,,INTERIOR RENOVATIONS AND RESTORATION,2002,GEORGE YU,,,,EDWIN BLASHFIELD; R. TAIT MCKENZIE (ELEMENTS REMOVED); TIFFANY STUDIOS; WILLIAM WILLET; HORACE J. PHIPPS AND CO.; JOHN HARDMAN AND CO.,BROWNSTONE,,"BECAME THE CATHEDRAL OF THE EPISCOPAL DIOCESE OF PENNSYLVANIA ON JANUARY 1, 1992 (MOSS 216)",,YES,NO,NO,NO,773265000,3723 CHESTNUT STREET,EPISCOPAL CHURCH OF THE,SAVIOR,88,"13 S. 38TH STREET Philadelphia, PA",,,small_green
FIRST PRESBYTERIAN CHURCH IN PHILADELPHIA,SECOND PRESBYTERIAN CHURCH,6500-6590 OLD YORK ROAD,19103,1872,,HENRY A. SIMS,YES,RITTENHOUSE FITLER,NO,WALNUT CHANCELLOR,NO,NO,MOSS,MOSS,5,CENTRAL,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),TOWER,1900,FURNESS & EVANS,SANCTUARY RENOVATIONS,1953,HAROLD EUGENE WAGONER,,,,J. AND G.H. GIBSON; MAGEE AND SMITH; TIFFANY STUDIO; COX AND SON OF LONDON; WAILLES OF NEWCASTLE-UPON-TYNE; JEAN BAPTISTE CAPRONNIER OF BRUSSELS; ALEXANDER MILNE CALDER,SANDSTONE,,,,YES,NO,NO,NO,772248000,,SECOND PRESBYTERIAN,CHURCH,8,"2036  WALNUT STREET Philadelphia, PA",,,small_green
19TH STREET BAPTIST CHURCH,MEMORIAL CHAPEL OF THE HOLY COMFORTER,1249-1253 S. 19TH STREET,19146,1874,,FURNESS & HEWITT,YES,NO,YES,NO,NO,NO,PAB,PAB,2,SOUTH,COMPLEX,EPISCOPAL,BAPTIST,,,,,,,,,,,SERPENTINE STONE,BROWNSTONE,,,YES,PHMC,NO,YES,773212500,,19TH STREET BAPTIST,CHURCH,21,"1249 S. 19TH STREET Philadelphia, PA",,,small_green
SHILOH BAPTIST CHURCH,CHURCH OF THE HOLY APOSTLES,2030-2038 CHRISTIAN STREET,19146,1870,,"FRASER, FURNESS & HEWITT",YES,NO,ELIGIBLE,NO,NO,NO,COOPERMAN,COOPERMAN,2,CENTRAL,COMPLEX,EPISCOPAL,BAPTIST,,,,,,,,,,,BROWNSTONE,,,,YES,PSP,YES,YES,772107000,,SHILOH BAPTIST CHURCH,OF PHILA,19,"2030  CHRISTIAN STREET Philadelphia, PA",,,small_green
RESIDENTIAL,LOMBARD STREET CENTRAL PRESBYTERIAN CHURCH,832-838 LOMBARD STREET,19147,1848,,WILLIAM JOHNSTON,YES,NO,NO,NO,NO,NO,PHC,,1,CENTRAL,,PRESBYTERIAN,ADAPTIVE REUSE,ALTERATIONS (PHC),1891,,ONE-STORY ADDITION WEST FA�ADE (PHC),1945,,ONE-STORY ADDITION EAST FA�ADE (PHC),1962,,,BRICK,STUCCO,CONVERTED 2006/7,,NO,NO,YES,YES,UNITS LISTED SEPARATELY,,,,,"832  LOMBARD STREET Philadelphia, PA",,,small_green
POLITE TEMPLE BAPTIST CHURCH,FIRST BAPTIST CHURCH OF GERMANTOWN,40 E. PRICE STREET,19144,1852,,SAMUEL SLOAN,YES,NO,NO,NO,NO,YES,,,8,UPPER NORTHWEST,,BAPTIST,BAPTIST,,,,,,,,,,,STUCCO,WOOD,,,NO,NO,NO,NO,775266000,,POLITE TEMPLE BAPTIST,CHURCH,246,"40 E. PRICE STREET Philadelphia, PA",,,small_green
MEMORIAL PRESBYTERIAN CHURCH OF FOX CHASE,MEMORIAL PRESBYTERIAN CHURCH,7902-7918 OXFORD AVENUE,19111,1884,,"THEOPHILUS P. CHANDLER, JR.",YES,NO,NO,NO,NO,NO,,,10,CENTRAL NORTHEAST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,,,,,YES,NO,NO,NO,778241000,,MEMORIAL PRESBYTERIAN,CHURCH OF FOX CHASE,341,"7902  OXFORD AVENUE Philadelphia, PA",,,small_green
BETHANY AFRICAN METHODIST EPISCOPAL CHURCH,BETHANY AFRICAN METHODIST EPISCOPAL CHURCH,8838 ASHTON ROAD,19152,1837,,ELIAS CHASE (BUILDER),YES,NO,NO,NO,NO,NO,PCHP,COOPERMAN,6,LOWER FAR NORTHEAST,,AFRICAN METHODIST EPISCOPAL,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,WOOD,,,,NO,NO,YES,NO,778073000,,AFRICAN M E CHURCH,,347,"8838  ASHTON ROAD Philadelphia, PA",,,small_green
GEORGE W. SOUTH MEMORIAL CHURCH OF THE ADVOCATE,GEORGE W. SOUTH MEMORIAL PROTESTANT EPISCOPAL CHURCH OF THE ADVOCATE,1801-1819 W. DIAMOND STREET,19121,1897,,CHARLES M. BURNS,YES,DIAMOND STREET,YES,NO,YES,YES,MOSS,MOSS,5,LOWER NORTH,,EPISCOPAL,EPISCOPAL,,,,,,,,,,WALTER EDMONDS; RICHARD WATSON,GRANITE,LIMESTONE,,,YES,PSP; PHMC,YES,NO,772114000,,MEMORIAL CHURCH OF THE,ADVOCATE,153,"1801 W. DIAMOND STREET Philadelphia, PA",,,small_green
OLIVET-COVENANT PRESBYTERIAN CHURCH,OLIVET PRESBYTERIAN CHURCH,610-622 N. 22ND STREET,19130,1865,,THOMAS JAMISON,YES,SPRING GARDEN,NO,SPRING GARDEN,NO,NO,PHPC,,5,CENTRAL,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,NO,772315000,,OLIVE PRESBYTERIAN,,134,"610 N. 22ND STREET Philadelphia, PA",,,small_green
SAINT FRANCIS XAVIER CHURCH (THE ORATORY),SAINT FRANCIS XAVIER CHURCH,2319-2331 GREEN STREET,19130,1898,,EDWIN F. DURANG,YES,SPRING GARDEN,NO,SPRING GARDEN,NO,YES,MOSS,MOSS,5,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,RECONSTRUCTION AND EXPANSION AFTER A 1906 FIRE,1908,EDWIN F. DURANG,,,,,,,MARTIN CALLANAN (?); CHARLES HALL AND CO.,GRANITE,LIMESTONE,FIRE DESTROYED THE NORTH WALL AND ROOF IN 1906,,YES,NO,NO,NO,772147500,,DOUGHERTY DENNIS,,134,"2319  GREEN STREET Philadelphia, PA",,,small_green
CHESTNUT HILL BAPTIST CHURCH,FIRST BAPTIST CHURCH,2 BETHLEHEM PIKE,19118,1874,,UNKNOWN,YES,NO,NO,CHESTNUT HILL,NO,NO,REBUILT; PAB,,8,UPPER NORTHWEST,,BAPTIST,BAPTIST,TOWER,1874,UNKNOWN,,,,,,,,STUCCO,WOOD,,,NO,PSP,NO,NO,775079000,,CHESTNUT HILL BAPTIST,,227,"2  BETHLEHEM PIKE Philadelphia, PA",,,small_green
BYBERRY MONTHLY MEETING,BYBERRY FRIENDS MEETING HOUSE,3001 BYBERRY ROAD,19154,1808,,SAMUEL PAUL (BUILDER; JACOB MYERS (STONE MASON),YES,NO,NO,NO,NO,NO,NO PAB DATE; NO PCHP,,10,LOWER FAR NORTHEAST,COMPLEX,RELIGIOUS SOCIETY OF FRIENDS (QUAKER),RELIGIOUS SOCIETY OF FRIENDS (QUAKER),HOUSE TO WEST OF MEETINGHOUSE,1823,UNKNOWN,MEETINGHOUSE HALL,1846,UNKNOWN,,,,,STONE,WOOD,,,NO,NO,NO,NO,778098000,,TRS OF BYBERRY FRIENDS,MEETING,363,"3001  BYBERRY ROAD Philadelphia, PA",,,small_green
JOHN CHAMBERS MEMORIAL PRESBYTERIAN CHURCH,JOHN CHAMBERS MEMORIAL UNITED PRESBYTERIAN CHURCH,1629-1637 S. 28TH STREET,19145,1900,,THOMAS P. LONSDALE,YES,NO,NO,NO,NO,NO,"PHMC-PHC, CLIO",,2,SOUTH,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,BRICK,STONE,,,YES,NO,NO,NO,773257000,,JOHN CHAMBERS MEMORIAL,UNITED PRESBYTERIAN,33,"1629 S. 28TH STREET Philadelphia, PA",,,small_green
JONES TABERNACLE AFRICAN METHODIST EPISCOPAL CHURCH,UNION METHODIST EPISCOPAL CHURCH,2019-2029 W. DIAMOND STREET,19121,1888,,HAZLEHURST & HUCKEL,YES,DIAMOND STREET,YES,NO,NO,YES,COOPERMAN,COOPERMAN,5,LOWER NORTH,,METHODIST EPISCOPAL,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,STONE,,,,NO,PHMC,YES,YES,772118000,,JONES TABERNACLE AFRICAN,METH EPISCOPAL CHURCH,152,"2019 W. DIAMOND STREET Philadelphia, PA",,,small_green
CHURCH OF SAINT LUKE AND THE EPIPHANY,SAINT LUKE'S EPISCOPAL CHURCH,318-330 S. 13TH STREET,19107,1840,,THOMAS S. STEWART,YES,NO,NO,WASHINGTON SQUARE WEST,NO,YES,MOSS,MOSS,1,CENTRAL,COMPLEX,EPISCOPAL,EPISCOPAL,PARISH HOUSE,1874,FURNESS & HEWITT,,,,,,,,STUCCO,,,,YES,PSP,NO,NO,771263000,332 S. 13TH STREET? (771264000),ST LUKES P E CHURCH,,11,"318 S. 13TH STREET Philadelphia, PA",,,small_green
GREATER EXODUS BAPTIST CHURCH,CENTRAL PRESBYTERIAN CHURCH,704-712 N. BROAD STREET,19130,1877,,COLLINS & AUTENREITH,YES,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,5,CENTRAL,,PRESBYTERIAN,BAPTIST,,,,,,,,,,,BRICK,BROWNSTONE,,,YES,NO,YES,YES,772069000,,GREATER EXODUS BAPTIST,CHURCH,133,"704 N. BROAD STREET Philadelphia, PA",,,small_green
GERMANTOWN MENNONITE MEETING HOUSE,GERMANTOWN MENNONITE MEETING,6119-6131 GERMANTOWN AVENUE,19144,1770,,UNKNOWN,YES,NO,YES,COLONIAL GERMANTOWN,NO,YES,PAB,,8,UPPER NORTHWEST,,MENNONITE,MENNONITE,REAR ADDITION,1907,,,,,,,,,SCHIST,WOOD,,,NO,NO,NO,NO,775155000,,TRUSTEES MENONIST SOC,,252,"6119  GERMANTOWN AVENUE Philadelphia, PA",VACANT?,,small_green
GERMANTOWN MONTHLY MEETING,COULTER STREET FRIENDS MEETINGHOUSE,23 W. COULTER STREET,19144,1868,,YARNALL (BUILDER),YES,NO,NO,NO,NO,YES,,UNCONFIRMED,8,UPPER NORTHWEST,COMPLEX,RELIGIOUS SOCIETY OF FRIENDS (QUAKER),RELIGIOUS SOCIETY OF FRIENDS (QUAKER),,,,,,,,,,,STONE,STUCCO,,,NO,NO,NO,NO,776527500,47 W. COULTER STREET,TR GTN PREP MEETING OF,FRIENDS,241,"23 W. COULTER STREET Philadelphia, PA",,,small_green
NEW GREATER STRAIGHTWAY BAPTIST CHURCH,CONGREGATION OHEL JACOB; CONGREGATION ADATH JESHURUN (HABS),1705-1713 N. 7TH STREET,19122,1888,,J. FRANKLIN STUCKERT,YES,NO,NO,NO,NO,YES,HABS,,5,LOWER NORTH,,JUDAISM,BAPTIST,ALTERATIONS (HABS),1911,,,,,,,,,,,,,NO,NO,NO,YES,777399000,,GREATER STRAIGHTWAY,BAPTIST CHURCH,145,"1705 N. 7TH STREET Philadelphia, PA",CLOSED?,,small_green
TENTH PRESBYTERIAN CHURCH,WEST SPRUCE STREET PRESBYTERIAN CHURCH,1700-1708 SPRUCE STREET,19103,1857,,"JOHN MCARTHUR, JR.",YES,RITTENHOUSE FITLER,NO,RITTENHOUSE,NO,NO,MOSS,MOSS,2,CENTRAL,,PRESBYTERIAN,PRESBYTERIAN - PCA,INTERIOR REDESIGN,1893,FRANK MILES DAY,,,,,,,TIFFANY STUDIOS,BRICK,WOOD,ORIGINAL MCARTHUR TOWERS AND STEEPLES WERE REDUCED IN 1912 DUE TO STRUCTURAL CONCERNS (MOSS 178),,YES,NO,NO,NO,772224000,1701 DELANCEY PLACE; 300-312 S. 17TH STREET,WEST SPRUCE,,12,"1700  SPRUCE STREET Philadelphia, PA",,,small_green
MARS HILL BAPTIST CHURCH,MARS HILL BAPTIST CHURCH; STEVENS MEMORIAL CHURCH; SAINT SIMEON CHURCH (ORIGINAL),900-916 W. LEHIGH AVENUE,19133,1889,,FRANK R. WATSON,YES,NO,NO,NO,NO,NO,PAB,,5,LOWER NORTH,,EPISCOPAL,BAPTIST,BELL TOWER (PAB),1903,WATSON & HUCKEL,FIRE ESCAPE (PAB),1904,WATSON & HUCKEL,,,,D'ASCENZO STUDIOS,SCHIST,LIMESTONE,,,YES,NO,NO,YES,777236000,2650 N. 9TH STREET,CHURCH OF THE LIVING GOD,,164,"900 W. LEHIGH AVENUE Philadelphia, PA",,,small_green
"TRINITY MEMORIAL CHURCH, EPISCOPAL",HOLY TRINITY MEMORIAL CHAPEL,7111-7113 GERMANTOWN AVENUE,19103,1874,,JOSEPH P. SIMS,YES,RITTENHOUSE FITLER,NO,RITTENHOUSE,NO,NO,,,2,CENTRAL,COMPLEX,EPISCOPAL,EPISCOPAL,INTERIOR ALTERATIONS AFTER 1994 FIRE,1996,ATKIN OLSHIN LAWSON-BELL ASSOCIATES ARCHITECTS,REPLACEMENT OF CONNECTOR AND ENTRANCE PAVILION,2007,CUBELLIS GBQC,,,,,BRICK,BROWNSTONE,,,YES,NO,NO,NO,772227000,,CHURCH OF THE HOLY,TRINITY,12,"2200  SPRUCE STREET Philadelphia, PA",,,small_green
NEW CENTRAL BAPTIST CHURCH,CENTRAL BAPTIST CHURCH,2127-2139 LOMBARD STREET,19146,1922,,J. ERLE DRUCKENMILLER & WILLIAMS,YES,RITTENHOUSE FITLER,NO,NO,NO,NO,COOPERMAN,COOPERMAN,2,CENTRAL,,BAPTIST,BAPTIST,ALTERATIONS,1936,RICHARD R. NEELY,,,,,,,,BRICK,,,,YES,NO,YES,NO,772164000,,NEW CENTRAL BAPTIST,CHURCH,12,"2127  LOMBARD STREET Philadelphia, PA",,,small_green
NEW TEMPLE BAPTIST CHURCH,,810 S. 23RD STREET,19146,,,,YES,NO,NO,NO,NO,NO,,,2,CENTRAL,,,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,,772330000,2300-2302 MADISON SQUARE,NEW TEMPLE BAPTIST,CHURCH,13,"810 S. 23RD STREET Philadelphia, PA",,,small_green
WATERS MEMORIAL AFRICAN METHODIST EPISCOPAL CHURCH,MOUNT OLIVE AFRICAN METHODIST EPISCOPAL CHURCH; MURRAY CHAPEL; SHILOH BAPTIST CHURCH (ORIGINAL),609 S. CLIFTON STREET,19147,1842,,,YES,NO,NO,NO,NO,NO,PHMC,,1,CENTRAL,,BAPTIST,AFRICAN METHODIST EPISCOPAL,ALTERATIONS,1895,,,,,,,,,BRICK,WOOD,,,NO,NO,YES,YES,771085000,,WATERS MEMORIAL,AME CHURCHTRS,15,"609 S. CLIFTON STREET Philadelphia, PA",,,small_green
SAINT MICHAEL'S CATHOLIC CHURCH,SAINT MICHAEL'S ROMAN CATHOLIC PARISH,1431-1441 N. 2ND STREET,19122,1847,,UNKNOWN,YES,NO,NO,NO,NO,NO,PHC,,5,LOWER NORTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,TOWERS (PHC),1848,UNKNOWN,STEEPLE RAISED (PHC),1900,EDWIN F. DURANG,,,,,BRICK,,,,YES,NO,NO,NO,777360000,,THE TRUSTEES OF ST,MICHAELS CHURCH,144,"1431 N. 2ND STREET Philadelphia, PA",,,small_green
SAINT PHILIP NERI CATHOLIC CHURCH,SAINT PHILIP NERI CATHOLIC CHURCH,218 QUEEN STREET,19147,1841,,NAPOLEAN LEBRUN,YES,NO,NO,SOUTHWARK,NO,YES,PCP,MOSS,1,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,INTERIOR REPAIRS AND REDECORATION,1899,FRANK R. WATSON,,,,,,,,STONE,,FIRST BUILDING DEFINITELY ATTRIBUTABLE TO LEBRUN (MOSS 98); INTERIOR DAMAGED IN 1897 FIRE (MOSS 101),,NO,NO,NO,NO,771151000,,REV DENNIS J DOUGHERTY,IN TRUST,17,"218  QUEEN STREET Philadelphia, PA",,,small_green
SAINT JOHN THE EVANGELIST EPISCOPAL CHURCH/EMANUEL EVANGELICAL LUTHERAN CHURCH,SAINT JOHN THE EVANGELIST EPISCOPAL CHURCH,1332 S. 3RD STREET,19147,1860,CIRCA,,NO,NO,NO,NO,NO,NO,UNCONFIRMED,,1,SOUTH,,EPISCOPAL,EPISCOPAL; LUTHERAN,,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,YES,771192000,,RECTORS CHURCH WARDENS,VESTRYMEN OF,27,"1332 S. 3RD STREET Philadelphia, PA",,,small_red
SAINT STEPHEN'S EPISCOPAL CHURCH,SAINT STEPHEN'S PROTESTANT EPISCOPAL CHURCH,19 S. 10TH STREET,19107,1823,,WILLIAM STRICKLAND,YES,NO,YES,EAST CENTER CITY COMMERCIAL,NO,YES,PCP,MOSS,1,CENTRAL,,EPISCOPAL,EPISCOPAL,NORTH TRANSEPT ADDITION,1878,FRANK FURNESS,PARISH HOUSE,1888,GEORGE C. MASON & SON,,,,CARL JOHANN STEINHAUSER; AUGUSTUS SAINT-GAUDENS; HENRY HOLIDAY; TIFFANY STUDIOS; D'ASCENZO STUDIO,GRANITE,,,,YES,NO,NO,NO,771246500,,ST STEPHENS PROTESTANT,EQISCOPAL CHURCH,5,"19 S. 10TH STREET Philadelphia, PA",,,small_green
MOTHER BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,MOTHER BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,419-423 S. 6TH STREET,19147,1890,,HAZLEHURST & HUCKEL,YES,SOCIETY HILL,YES,NO,YES,YES,MOSS,MOSS,1,CENTRAL,,AFRICAN METHODIST EPISCOPAL,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,GRANITE,STUCCO,CONGREGATION ESTABLISHED IN 1787 (DENOMINATION ESTABLISHED IN 1816) BY RICHARD ALLEN AFTER A SCHISM BETWEEN THE BLACK AND WHITE MEMBERS OF SAINT GEORGE'S METHODIST CHURCH; OLDEST PARCEL OF LAND OWNED BY BLACKS IN THE UNITED STATES (MOSS 112); FOURTH BUILDING ON SITE,,YES,PSP; PHMC,NO,NO,771221000,,MOTHER BETHEL AFRICAN,,10,"419 S. 6TH STREET Philadelphia, PA",,,small_green
"CHURCH OF SAINT JAMES, KINGSESSING",SWEDISH LUTHERAN GLORIA DEI CHURCH - CHAPEL,6800 WOODLAND AVENUE,19142,1762,,,YES,NO,NO,NO,NO,NO,PAB,,2,WEST,,SWEDISH LUTHERAN,EPISCOPAL,ADDITIONS/ALTERATIONS (PAB),1854,,ADDITIONS/ALTERATIONS (PAB),1875,THOMAS W. RICHARDS; JAMES COULTAS (SUPERVISOR),,,,,STONE,WOOD,,,YES,NO,NO,YES,773191000,,ST JAMES EPISCOPAL,CHURCH,63,"6800  WOODLAND AVENUE Philadelphia, PA",,,small_green
"FIRST CHURCH OF CHRIST, SCIENTIST",CHRIST CHURCH CHAPEL,1734-1754 W. THOMPSON STREET,19103,1877,,JAMES P. SIMS,YES,RITTENHOUSE FITLER,NO,RITTENHOUSE,NO,NO,PHC,SACRED SITES OF CENTER CITY (GALLERY),2,CENTRAL,,EPISCOPAL,"CHURCH OF CHRIST, SCIENTIST",SANCTUARY EXPANSION (T. ALLEN PAPER),1879,FRANK FURNESS (CONFIRMED?),ENTRANCE PORCH (T. ALLEN PAPER),1892,"FURNESS, EVANS & CO.",REAR ADDITION (T. ALLEN PAPER),C. 1910,,,BRICK,,,,NO,NO,NO,YES,772194000,,FIFTH CHURCH OF CHRIST,SCIENTISTS OF PHILA,12,"1915  PINE STREET Philadelphia, PA",,,small_green
